year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
2016,Suzuki,SWIFT DZIRE,5,"['Suzuki', 'SWIFT', 'DZIRE']", 6800000, 12782,Gasolina,1200 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 1,Heredia
2012,Toyota,YARIS,5,"['Toyota', 'YARIS']", 6800000, 12782,Gasolina,1300 cc,Automática,Hatchback,GRIS,GRIS/NEGRO,Termina en 2,Heredia
2017,Suzuki,SWIFT DZIRE GL,5,"['Suzuki', 'SWIFT', 'DZIRE', 'GL']", 6800000, 12782,Gasolina,1200 cc,Automática,Sedán,CHAMPAGNE,NEGRO,Termina en 7,Heredia
2014,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,GRIS PLATEADO,GRIS OSCURO,Termina en 0,Alajuela
2000,Toyota,TACOMA,5,"['Toyota', 'TACOMA']", 6800000, 12782,Gasolina,3400 cc,Automática,Pickup 4x2,ROJO MICA,GRIS,Termina en 6,San José
2012,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,CELESTE,CAFE,ND,Alajuela
2016,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,CAFÉ,NEGRO,Termina en 5,Heredia
2017,Toyota,YARIS,5,"['Toyota', 'YARIS']", 6800000, 12782,Gasolina,1500 cc,Automática,Hatchback,CHAMPAGNE,NEGRO,Termina en 4,San José
2016,Hyundai,ACCENT BLUE HMS,5,"['Hyundai', 'ACCENT', 'BLUE', 'HMS']", 6800000, 12782,Gasolina,1600 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 7,San José
2012,Audi,A1,4,"['Audi', 'A1']", 6800000, 12782,Gasolina,1400 cc,Automática,Hatchback,MARRÓN,NEGRO,Termina en 5,Alajuela
2017,Kia,PICANTO,5,"['Kia', 'PICANTO']", 6800000, 12782,Gasolina,1200 cc,Automática,Hatchback,GRIS,NEGRO,Termina en 9,Alajuela
2007,Honda,CRV,5,"['Honda', 'CRV']", 6800000, 12782,Gasolina,2400 cc,Automática,Todo Terreno 4x4,DORADO,NEGRO,Termina en 6,San José
2017,Chevrolet,SONIC PREMIER,5,"['Chevrolet', 'SONIC', 'PREMIER']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,NEGRO,NEGRO,Termina en 3,Heredia
2013,Nissan,QASHQAI,5,"['Nissan', 'QASHQAI']", 6800000, 12782,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,CAFÉ CLARO,Termina en 3,Cartago
2014,Chevrolet,CAPTIVA SPORT,5,"['Chevrolet', 'CAPTIVA', 'SPORT']", 6800000, 12782,Gasolina,2384 cc,Manual,Todo Terreno 4x4,CAFE,NEGRO,Termina en 5,San José
2016,Suzuki,SCROSS GL,5,"['Suzuki', 'SCROSS', 'GL']", 6800000, 12782,Gasolina,1600 cc,Manual,Hatchback,AZUL,NEGRO,Termina en,Guanacaste
2015,Suzuki,APV,2,"['Suzuki', 'APV']", 6800000, 12782,Gasolina,1600 cc,Manual,Pánel,BLANCO,NEGRO,Termina en 2,San José
2017,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,CAFÉ,NEGRO,Termina en 9,San José
2013,Mitsubishi,LANCER ES,5,"['Mitsubishi', 'LANCER', 'ES']", 6800000, 12782,Gasolina,2000 cc,Manual,Sedán,NEGRO,NEGRO,ND,San José
2010,Toyota,PRIUS,5,"['Toyota', 'PRIUS']", 6800000, 12782,Híbrido,1800 cc,Automática,Sedán,ROJO,BEIGE,Termina en 9,Heredia
2019,Nissan,MARCH,5,"['Nissan', 'MARCH']", 6800000, 12782,Gasolina,1600 cc,Manual,Hatchback,TURQUESA,NEGRO,Termina en 8,San José
2006,BMW,325I,5,"['BMW', '325I']", 6800000, 12782,Gasolina,2500 cc,Automática,Sedán,GRIS,NEGRO,Termina en 4,San José
2010,Mitsubishi,L300,10,"['Mitsubishi', 'L300']", 6800000, 12782,Diesel,2500 cc,Manual,Microbús/Minivan,BLANCA,GRIS,Termina en 4,San José
2018,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 6800000, 12782,Gasolina,1200 cc,Manual,Sedán,ROJO-VINO,GRIS,Termina en 4,San José
2007,Hyundai,SANTA FE,7,"['Hyundai', 'SANTA', 'FE']", 6800000, 12782,Diesel,2400 cc,Automática,Todo Terreno 4x4,NEGRO,BLANCO,Termina en 2,San José
2018,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,VINO,NEGRO,Termina en 7,Heredia
2019,Hyundai,I10,5,"['Hyundai', 'I10']", 6823048, 12825,Gasolina,1000 cc,Manual,Hatchback,BLANCO,NEGRO,ND,San José
2008,BMW,525IA,5,"['BMW', '525IA']", 6825000, 12829,Gasolina,3000 cc,Automática,Sedán,GRIS,BEIGE,Termina en 2,San José
2017,Suzuki,CIAZ GLX,5,"['Suzuki', 'CIAZ', 'GLX']", 6800000, 12782,Gasolina,1400 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 0,Heredia
2017,Hyundai,GRAND I10 GLS,5,"['Hyundai', 'GRAND', 'I10', 'GLS']", 6800000, 12782,Gasolina,1000 cc,Automática,Hatchback,NEGRO,NEGRO,Termina en 5,San José
2013,Hyundai,ELANTRA GLS,5,"['Hyundai', 'ELANTRA', 'GLS']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,GRIS,GRIS,ND,Cartago
2012,Honda,CIVIC EX,5,"['Honda', 'CIVIC', 'EX']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,GRIS OSCURO,GRIS CLARO,Termina en 6,Cartago
2007,Toyota,RAV4,5,"['Toyota', 'RAV4']", 6800000, 12782,Gasolina,2400 cc,Automática,Todo Terreno 4x2,BLANCO,GRIS,Termina en 5,Alajuela
2017,Hyundai,ACCENT BLUE,5,"['Hyundai', 'ACCENT', 'BLUE']", 6800000, 12782,Gasolina,1400 cc,Automática,Sedán,GRIS,NEGRO,Termina en 0,Alajuela
2017,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6800000, 12782,Gasolina,1600 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 0,San José
2004,Daihatsu,DELTA,3,"['Daihatsu', 'DELTA']", 6800000, 12782,Diesel,3660 cc,Manual,Camión 5.0-7.5 ton.,BLANCO,GRIS,Termina en 8,Alajuela
2018,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 6800000, 12782,Gasolina,1400 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,Heredia
2020,Geely,GX3,5,"['Geely', 'GX3']", 6833000, 12844,Gasolina,1500 cc,Manual,Todo Terreno 4x2,ROJO,NEGRO,Termina en 6,San José
2015,Mitsubishi,ZINGER,7,"['Mitsubishi', 'ZINGER']", 6844270, 12865,Gasolina,2400 cc,Automática,Todo Terreno 4x2,PLATEADO,BEIGE,Termina en 5,San José
2012,Kia,CARNIVAL,10,"['Kia', 'CARNIVAL']", 6850000, 12876,Diesel,2200 cc,Automática,Microbús/Minivan,NEGRO,NEGRO,ND,San José
2008,Mercedes Benz,C200 KOMPRESSOR,5,"['Mercedes', 'Benz', 'C200', 'KOMPRESSOR']", 6850000, 12876,Gasolina,1800 cc,Automática,Sedán,AZUL PERLADO,CUERO NEGRO,Termina en 3,Heredia
2018,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6850000, 12876,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,Termina en 6,Heredia
2012,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 6850000, 12876,Gasolina,1600 cc,Manual,Sedán,BLANCO,NEGRO,ND,Alajuela
2009,Suzuki,GRAND VITARA LIMITED,5,"['Suzuki', 'GRAND', 'VITARA', 'LIMITED']", 6850000, 12876,Gasolina,2700 cc,Automática,Todo Terreno 4x4,NEGRO,GRIS,Termina en 2,San José
1993,Toyota,MR2,2,"['Toyota', 'MR2']", 6850000, 12876,Gasolina,2200 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 9,San José
2009,Kia,BONGO,3,"['Kia', 'BONGO']", 6850000, 12876,Diesel,3000 cc,Manual,Pickup 4x2,BLANCO,GRIS,ND,San José
2014,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 6850000, 12876,Gasolina,1800 cc,Automática,Sedán,GRIS,GRIS,Termina en 5,Heredia
2007,BMW,320I,5,"['BMW', '320I']", 6850000, 12876,Gasolina,2000 cc,Manual,Sedán,GRIS RATÓN,NEGRO,Termina en 8,San José
2008,Audi,A6,5,"['Audi', 'A6']", 6850000, 12876,Gasolina,2000 cc,Automática,Sedán,AZUL OSCURO,BEIGE,Termina en 5,Heredia
2014,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6850000, 12876,Gasolina,1800 cc,Automática,Sedán,AZUL,GRIS,Termina en 5,Alajuela
2019,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 6850000, 12876,Gasolina,1200 cc,Manual,Sedán,PLATEADO,NEGRO,Termina en 9,San José
2018,Kia,PICANTO,5,"['Kia', 'PICANTO']", 6850000, 12876,Gasolina,1300 cc,Manual,Hatchback,BLANCO,NEGRO,Termina en 7,Heredia
2012,Toyota,COROLLA S,5,"['Toyota', 'COROLLA', 'S']", 6850000, 12876,Gasolina,1800 cc,Automática,Sedán,NEGRO,NEGRO,ND,San José
2009,Toyota,COROLLA S,5,"['Toyota', 'COROLLA', 'S']", 6850000, 12876,Gasolina,1800 cc,Manual,Sedán,PLATEADO,NEGRO GRIS,Termina en 7,Guanacaste
2012,Toyota,COROLLA GLI,5,"['Toyota', 'COROLLA', 'GLI']", 6850000, 12876,Gasolina,1800 cc,Manual,Sedán,GRIS PERLA,NEGRO/BEIGE,Termina en 6,San José
2018,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 6850000, 12876,Gasolina,1200 cc,Automática,Hatchback,GRIS,GRIS,ND,Heredia
2017,Suzuki,SWIFT,5,"['Suzuki', 'SWIFT']", 6850000, 12876,Gasolina,1200 cc,Automática,Hatchback,BLANCO,NEGRO,Termina en 4,Alajuela
2014,Daihatsu,TERIOS,5,"['Daihatsu', 'TERIOS']", 6850000, 12876,Gasolina,1595 cc,Automática,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 0,San José
2016,Kia,RIO,5,"['Kia', 'RIO']", 6850000, 12876,Gasolina,1400 cc,Automática,Hatchback,GRIS,NEGRO,Termina en 6,San José
2012,Kia,CARENS,7,"['Kia', 'CARENS']", 6850000, 12876,Híbrido,2000 cc,Automática,Microbús/Minivan,PLATEADO,GRIS,Termina en 2,San José
2017,Ssang Yong,TIVOLI,5,"['Ssang', 'Yong', 'TIVOLI']", 6862800, 12900,Gasolina,1600 cc,Automática,Todo Terreno 4x2,NEGRO,NEGRO,ND,Heredia
